Name,AlternateName,logo (URL angeben),Description,startDate,URL,"sameAs (Twitter, FB etc.)",license(s),openness,Email,Language(s),Audience,Topic,Provider_Id,Provider_Name,Provider_AlternateName,Provider_logo,Provider_Description,Provider_URL,"Provider_sameAs (Twitter, FB etc.)",Provider_AddressCountry,Provider_AddressCity,Provider_Region,Provider_StreetAddress,Provider_PostalCode,Provider_Email,Tag,COMMENTS:,Provider2_Name,Provider2_AlternateName,Provider2_logo,Provider2_Description,Provider2_URL,"Provider2_sameAs (Twitter, FB etc.)",Provider2_AddressCountry,Provider2_AddressCity,Provider2_Region,Provider2_StreetAddress,Provider2_PostalCode,Provider2_Email,Tag
Academic Earth,,https://upload.wikimedia.org/wikipedia/en/5/57/Academic_Earth.png,"Academic Earth is a website launched on March 24, 2009, by Richard Ludlow and co-founders Chris Bruner and Liam Pisano,which offers free online video lectures from universities such as UC Berkeley, UCLA, University of Michigan, Harvard, MIT, Princeton, Stanford, and Yale.",2008, http://academicearth.org/,"https://twitter.com/academicearth
https://www.facebook.com/academicearth
https://www.pinterest.com/academicearth/",Standard-YouTube-Lizenz,,contact@academicearth.org,en,"5, 6","0411, 022, 0511, 04, 0531, 06, 0311, 01, 07, 0412, 09, 0413, 0541, 0414, 0533, 0313, 0923, 031",,Consumer Media Network ,CMN,https://pbs.twimg.com/profile_images/1706437083/CMN.com-logo-twitter_400x400.png,CMN provides its school partners with a marketing infrastructure to select qualified students and deliver curriculum. ,http://www.cmn.com/,https://twitter.com/cmn,US,Houston,TX,"1001 McKinney Street, Suite 400",77002,info@cmn.com,,,,,,,,,,,,,,,
African Health OER Network,, http://www.oerafrica.org/sites/default/files/health_0.PNG,"The African Health OER Network seeks to enable participants to develop, adapt, and share health education resources to augment limited human and other resources in the health sector and impact positively on overall health provision in Africa and beyond.",2009, http://www.oerafrica.org/healthoer,"https://twitter.com/oerafrica
https://www.facebook.com/OER-Africa-158823421277/timeline/
https://www.youtube.com/user/oerafrica
https://www.flickr.com/photos/oerafrica","CC BY, CC BY-SA, CC BY-NC-SA, CC BY-NC-ND",,healthoer@oerafrica.com,en,"5, 6",091,706b5a70-77eb-11e5-9f9f-c48e8ff4ea31,"

University of Michigan","

Open.Michigan","


http://open.umich.edu/sites/oer.switchbackcms.com/files/oer_logo.gif","Open.Michigan is a University of Michigan initiative that enables faculty, students, and others to share their educational resources and research with the global learning community. ",http://open.umich.edu/,"https://twitter.com/open_michigan
https://www.facebook.com/pages/OpenMichigan/94137343500
https://www.flickr.com/photos/openmichigan
https://www.youtube.com/user/openmichigan
http://de.slideshare.net/openmichigan/",US,Ann Arbor,MI ,"Arbor Lakes Building, Rm. 2505",48105-3640,open.michigan@umich.edu,,,,,,,,,,,,,,,
Aljazeera creative commons repository,,https://ia600407.us.archive.org/18/items/aljazeeramedia/ajmedia.jpg,The Al Jazeera Creative Commons Repository hosts select broadcast quality media that Al Jazeera has released under various Creative Commons licenses. ,,"
https://archive.org/details/aljazeeramedia",,"The Al Jazeera Creative Commons Repository hosts select broadcast quality media that Al Jazeera has released under various Creative Commons licenses. Select Al Jazeera video footage is available for free to be downloaded, shared, remixed, subtitled and eventually rebroadcasted by users and TV stations across the world with acknowledgement to Al Jazeera.
CC BY-NC, CC BY-ND",,,en,"2, 3, 4, 5, 6
",03,b2be35d0-78a1-11e5-81fb-001999ac7927,Internet Archive,,http://internethalloffame.org/sites/default/files/timeline/archive-logo-1600.png,"Internet Archive is a non-profit library of millions of free books, movies, software, music, and more.",https://archive.org/,"https://twitter.com/internetarchive
https://www.facebook.com/internetnetarchive",US,San Francisco,CA,300 Funston Avenue,94118,info@archive.org,,,,,,,,,,,,,,,
Almae Matris Studiorum Campus,"AMS Campus
ALMA DL",,AMS Campus è il deposito istituzionale dei materiali didattici dell'Università di Bologna. Consente di accedere e consultare in modo agevole ed efficace i materiali didattici preparati dai docenti dell'Ateneo nell'ambito dei propri corsi.,2007, http://campus.unibo.it/,"https://www.facebook.com/Fondazione.Alma.Mater
https://twitter.com/FAMBologna","Could not find any license. Copyright of the author, non commercial. ",Many documents only for students.,,it,"5, 6","08, 0311, 0413, 0542, 051, 1014, 042, 07, 02, 023, 0912, 0313, 05, 0312",,Università di Bologna,,http://esocc2012.cs.unibo.it/images/logo_dip.jpg,"L'Università di Bologna ha adottato una struttura Multicampus per permettere la diffusione dell'offerta formativa e l'attivazione di una stabile attività di ricerca sul territorio, nell'intento di migliorare il funzionamento e la qualità della vita della comunità universitaria. A tale scopo sono stati costituiti i Campus di Cesena, Forlì, Ravenna e Rimini. Oltre ai Campus della Romagna, l'Università di Bologna ha anche una sede a Buenos Aires che offre in particolar modo master e corsi di alta formazione.",http://www.unibo.it/it,"https://twitter.com/UniboMagazine
https://www.youtube.com/user/UniBologna",IT,Bologna,Emilia-Romagna ,"Via Zamboni, 33",40126,aagg.webdesk@unibo.it,,Could not find licenses. Many documents for students only.,,,,,,,,,,,,,
Ariadne Finder,,http://www.ariadne-eu.org/sites/all/themes/Ariadne_template_new/images/finder_logo.png,"The ARIADNE Foundation is a not-for-profit association that aims to carry out basic and applied research that will improve creation, sharing and reuse of knowledge through the use of technology. They have created a standards-based technology infrastructure  that allows the publication and management of digital learning resources in an open and scalable way. ",1996,http://ariadne.grnet.gr/ariadne_finder/#/,https://twitter.com/Ariadne_eu,"CC BY-SA, Gliffy-Lizenz (?)",,,en,"2, 3, 4, 5, 6","08, 02,  04, 01, 07, 09, 06, 05, 10, 03","

",Ariadne Foundation,,,,,,European Union,,,,,,,Many contents of the repository were not found.,,,,,,,,,,,,,
Banco de iten,IAVE,http://cdn.iave.pt/bi/img/topBi.png,"O Banco de Itens permite consultar de forma rápida e funcional os itens disponíveis, efectuar ""testes de conhecimentos"" online e para os profesores, há ainda a possibilidade de criarem pastas personalizadas para ""Trabalhos de casa"", ""Fichas de avaliação"", entre outras funcionalidades. ",, http://bi.gave.min-edu.pt/,,CC BY-NC-ND,,,pt,"1, 2, 3","023, 0541, 0511, 0311, 0531",, Governo de Portugal. Ministro da Educação e Ciência,,http://www.escamarate.pt/SiteAssets/logo_MEC.png,"O Ministério da Educação e Ciência define, coordena, executa e avalia as políticas de educação, do ensino básico ao ensino superior, e da ciência. É também responsável pela qualificação e formação profissional.",http://www.portugal.gov.pt/pt/os-ministerios/ministerio-da-educacao-e-ciencia.aspx,"https://twitter.com/govpt
https://www.facebook.com/Governo-de-Portugal-548265471873786/
https://instagram.com/govpt/",PT,Lisboa,,"Av. 5 de Outubro, 107",1069-018,,,,,,,,,,,,,,,,
Banco de Objetos de Aprendizaje,"Repositorio de Objetos de Aprendiziaje
ROAP UN",http://4.bp.blogspot.com/-PbFZYwu6JR4/UU-U1RKtYNI/AAAAAAAAAFI/ENdvCU9n_pM/s1600/Sem+t%C3%ADtulo.png,"La DNIA apoya y fortalece los procesos de enseñanza-aprendizaje a la comunidad universitaria y a la sociedad, mediante el uso y apropiación de MTICs de manera oportuna, eficiente, responsable equitativa y pertinente.",,http://www.virtual.unal.edu.co/unvPortal/index.do,,,It is necessary to sign in (Moodle and Videochat),unvsoporte@unal.edu.co,es,"5, 6",,706aff80-77eb-11e5-9f9f-c48e8ff4ea31,Universidad nacional de Colombia,UNAL,https://www.gedcouncil.org/sites/default/files/content/UNAL%20logo..jpg,"The Universidad Nacional de Colombia (English: National University of Colombia), is a public, national, coeducational, research university, located primarily in Bogotá, Medellín, Manizales and Palmira, Colombia. Established in 1867 by an act of the Congress of Colombia, the university is the largest higher education institution of the country with more than 44,000 students, the largest number of graduated professionals per year,",http://unal.edu.co/,"https://www.facebook.com/UNIVERSIDAD-NACIONAL-DE-COLOMBIA-37021466200
https://twitter.com/unimedios
https://www.linkedin.com/edu/universidad-nacional-de-colombia-11612
https://instagram.com/explore/locations/235252960/
https://www.pinterest.com/unbogota/",CO,Bogotá,D.C.,"Carrera 45 # 26-85
Edif. Uriel Gutiérrez",,mediosdigitales@unal.edu.co,,,,,,,,,,,,,,,
Banco Internacional de Objetos Educacionais,,http://websmed.portoalegre.rs.gov.br/escolas/larry/imagens/objeduc.jpg,"The Educational Repository is an online service for collecting, preserving and providing access to data of research publications and digital content worldwide produced. ",, http://objetoseducacionais2.mec.gov.br,,"The collection available in this web address (http://objetoseducacionais.mec.gov.br ) is consisted either of resources which are part of the Public Domain or that have been negotiated and are available for viewing, copying, distribution or translation - for those which have available sources. Such a license is partial, free and non-exclusive. Therefore, the author will continue to use their productions freely, being able to even negotiate them commercially, once the Ministry of Education does not have exclusive rights to the works. The users are expressly forbidden to use any Digital Resource available at this web site for any commercial purposes. We reaffirm the content in this repository is strictly for educational purposes.The International Database of Educational Objects teams have redoubled their efforts to assure no copyright rule be broken. However, if by any chance a file happens to be violating any copyright related to its object, such as versions, translations, exhibitions etc. Click here and inform the Repository team so that this situation be in conformity with the Bank's procedures.

Autorização por e-mail, dada pelo autor ou seu representante diretamente ao Ministério da Educação - MEC que permite: copiar, distribuir e exibir as obras, sob as seguintes condições: deve-se dar crédito ao autor original, da forma especificada pelo autor ou licenciante; é proibido utilizar esta obra com finalidades comerciais e subscrevê-la - traduzir e criar obras derivadas -; para cada novo uso ou distribuição, deve-se deixar claras as licenças de uso desta obra.

CC BY - SA

","

Every material has a different licence, most of them do refer to the MEC.",,en,"0, 1, 2, 3, 4, 5","021, 023, 0231-ja0541, 0215, 0511, 091, 08, 05, 022, 03, 07
",,"Ministry of Education Brazil
in partnership with the Ministry of Science and Technology",MEC,http://bananeirasonline.com/site/wp-content/uploads/2013/02/image1.jpg,"The Ministry of Education (Portuguese: Ministério da Educação), MEC, is a Brazilian government ministry.
The functions of this ministry is to elaborate a national education policy in early childhood education, elementary education, secondary education, higher education, youth and adult education, among other teachings (professional, special and distance education) Taking their proper decisions so that these are met.",http://www.mec.gov.br/,"https://twitter.com/mec_comunicacao
https://www.youtube.com/user/ministeriodaeducacao
https://www.facebook.com/ministeriodaeducacao/timeline/
https://instagram.com/mineducacao",BR,Brasilia,,Esplanada Ministérios,s/n Bl L Anexo I,,,,,,,,,,,,,,,,
ChemCollective,Formerly known as the irYdium Project,http://4.bp.blogspot.com/-ozPTpLLSJmc/UendP6OP_OI/AAAAAAAAbus/gCfGEmthTes/s1600/Screen+Shot+2013-07-19+at+8.23.13+PM.png,"Online Resources for Teaching and Learning Chemistry:
The ChemCollective is a collection of virtual labs, scenario-based learning activities, tutorials, and concept tests. Teachers can use our content for pre-labs, for alternatives to textbook homework, and for in-class activities for individuals or teams. Students can review and learn chemistry concepts using our virtual labs, simulations, and tutorials.",2000, http://www.chemcollective.org/,"https://twitter.com/chemcollective
https://www.youtube.com/watch?v=KZYlEcdAg9s",The Chemistry Collective project is currently funded by the National Science Foundation. Our software is available free of charge to all educators and students under the creative commons license (Attribution-NonCommercial-NoDerivs CC BY-NC-ND). Instructors and students can use our materials on the web and on their computers immediately without any licensing requirements. We are very open to collaborations and the re-use of our materials. Please contact us for any uses that go beyond the above creative commons license.,,info@chemcollective.org,en,"2, 3, 4, 5, 6",0531,,Carnegie Mellon University,CMU,"
http://www.cmu.edu/marcom/brand-guidelines/images/cmu_logo_stack_red.jpg","Carnegie Mellon University (CMU) is a global research university with more than 13,200 students, 100,000 alumni and 5,000 faculty and staff. 

CMU has been a birthplace of innovation since its founding in 1900.

Today, we are a global leader bringing groundbreaking ideas to market and creating successful startup businesses.

Our award-winning faculty members are renowned for working closely with students to solve major scientiﬁc, technological and societal challenges. We put a strong emphasis on creating things—from art to robots. Our students are recruited by some of the world’s most innovative companies.

We have campuses in Pittsburgh, Qatar and Silicon Valley, and degree-granting programs around the world, including Africa, Asia, Australia, Europe and Latin America.",http://www.cmu.edu,http://www.facebook.com/carnegiemellonu,US,Pittsburgh,Pennsylvania,"	

Department of Chemistry

4400 Fifth Avenue",15213,web-feedback@andrew.cmu.edu,,,,,,,,,,,,,,,
Commonwealth of Learning,COL,https://www.col.org/sites/default/files/styles/image_responsive/public/COL_Logo_tagline%281%29_0.png?itok=x6mfbBpa,"The Commonwealth of Learning (COL) is an intergovernmental organisation of the Commonwealth of Nations headquartered in Vancouver, British Columbia, Canada. Founded at the 1987 Commonwealth Heads of Government Meeting (CHOGM)[1] and inaugurated in 1988,[2] COL's mandate is to promote and develop the use of open learning and distance education knowledge, resources and technologies throughout the Commonwealth's 54 member states.",1987, http://www.col.org/,"https://www.facebook.com/COL4D
https://twitter.com/COL4D
https://www.linkedin.com/company/commonwealth-of-learning
https://www.youtube.com/user/comlearn
",missing,,info@col.org,en,"4, 5, 6","0314, 0311, 0413, 08, 09, 091, 01, 07, 0712, 073, 05, 0511, 041, 0922, 1021, 0222, 06, 023, 002


",,Government of Canada,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Government_of_Canada_logo.svg/2000px-Government_of_Canada_logo.svg.png,"https://www.facebook.com/4CdnDiv4DivCA
https://twitter.com/AAFC_Canada",CA,Burnaby,British Columbia,"4710 Kingsway, Suite 2500",V5H 4M2,,,Es handelt sich um eine Organisation,,,,,,,,,,,,,
